EU_Position,Party,Name,Constituency ID
Leave,Con,David Burrowes,E14000692
Leave,Con,Eleanor Laing,E14000693
Leave,Con,Chris Grayling,E14000694
Remain,Con,Maggie Throup,E14000695
Remain,Lab,Teresa Pearce,E14000696
Leave,Con,Dominic Raab,E14000697
Remain,Lab,Ben Bradshaw,E14000698
Leave,Con,Suella Fernandes,E14000699
Remain,Con,Helen Whately,E14000700
Remain,Lab,Seema Malhotra,E14000701
Leave,Con,Jack Lopresti,E14000702
Remain,Con,Mike Freer,E14000703
Remain,Con,Damian Collins,E14000704
Remain,Con,Mark Harper,E14000705
Remain,Con,Mark Menzies,E14000706
Leave,Con,Edward Leigh,E14000707
Remain,Lab,Maria Eagle,E14000708
Remain,Lab,Ian Mearns,E14000709
Remain,Lab,Vernon Coaker,E14000710
Leave,Con,Rehman Chishti,E14000711
Remain,Con,Richard Graham,E14000712
Remain,Con,Caroline Dinenage,E14000713
Remain,Con,Nicholas Boles,E14000714
Leave,Con,Adam Holloway,E14000715
Remain,Lab,Melanie Onn,E14000716
Remain,Con,Brandon Lewis,E14000717
Remain,Lab,Matthew Pennycook,E14000718
Remain,Con,Anne Milton,E14000719
Remain,Lab,Diane Abbott,E14000720
Remain,Lab,Meg Hillier,E14000721
Remain,Con,James Morris,E14000722
Remain,Lab,Holly Lynch,E14000723
Leave,Con,David Davis,E14000724
Remain,Lab,Derek Twigg,E14000725
Remain,Lab,Andrew Slaughter,E14000726
Remain,Lab,Tulip Siddiq,E14000727
Remain,Con,Edward Garnier,E14000728
Remain,Con,Robert Halfon,E14000729
Remain,Con,Andrew Jones,E14000730
Leave,Con,Bob Blackman,E14000731
Remain,Lab,Gareth Thomas,E14000732
Remain,Lab,Iain Wright,E14000733
Leave,Con,Bernard Jenkin,E14000734
Remain,Con,Amber Rudd,E14000735
Remain,Con,Alan Mak,E14000736
In/Out,Lab,John Martin McDonnell,E14000737
Leave,Con,William Wragg,E14000738
Leave,Con,Mike Penning,E14000739
Remain,Lab,Jon Trickett,E14000740
Leave,Con,Matthew Offord,E14000741
Remain,Con,John Howell,E14000742
ND,Con,Jesse Norman,E14000743
Remain,Con,Mark Prisk,E14000744
Remain,Con,Oliver Dowden,E14000745
Remain,Con,Guy Opperman,E14000746
Remain,Lab,Liz McInnes,E14000747
Leave,Con,Andrew Bingham,E14000748
Leave,Con,Peter Lilley,E14000749
Remain,Lab,Keir Starmer,E14000750
Remain,Con,Angela Watkinson,E14000751
Remain,Lab,Catherine West,E14000752
Remain,Con,Jeremy Quin,E14000753
Remain,Lab,Bridget Phillipson,E14000754
Remain,Lab,Peter Kyle,E14000755
Remain,Lab,Barry Sheerman,E14000756
Remain,Con,Jonathan Djanogly,E14000757
Remain,Lab,Graham Jones,E14000758
Remain,Lab,Wes Streeting,E14000759
Remain,Lab,Mike Gapes,E14000760
Remain,Con,Ben Gummer,E14000761
Leave,Con,Andrew Turner,E14000762
In/Out,Lab,Jeremy Corbyn,E14000763
Remain,Lab,Emily Thornberry,E14000764
Remain,Lab,Stephen Hepburn,E14000765
Remain,Con,Kris Hopkins,E14000766
Remain,Con,Jeremy Wright,E14000767
Leave,Con,Victoria Borwick,E14000768
Leave,Con,Philip Hollobone,E14000769
Remain,Con,James Berry,E14000770
Remain,Lab,Karl Turner,E14000771
Remain,Lab,Diana R. Johnson,E14000772
Remain,Lab,Alan Johnson,E14000773
Remain,Con,Chris Skidmore,E14000774
Remain,Lab,George Howarth,E14000775
Remain,Lab,Cat Smith,E14000776
Remain,Lab,Hilary Benn,E14000777
Remain,Lab,Richard Burgon,E14000778
Remain,Lab,Fabian Hamilton,E14000779
Remain,Liberal Democrat,Greg Mulholland,E14000780
Remain,Lab,Rachel Reeves,E14000781
Remain,Lab,Keith Vaz,E14000782
Remain,Lab,Jon Ashworth,E14000783
Remain,Lab,Liz Kendall,E14000784
Remain,Lab,Andy Burnham,E14000785
Leave,Con,Maria Caulfield,E14000786
Remain,Lab,Heidi Alexander,E14000787
Remain,Lab,Jim Dowd,E14000788
Remain,Lab,Vicky Foxcroft,E14000789
Leave,Lab,John Cryer,E14000790
Leave,Con,Michael Fabricant,E14000791
Leave,Con,Karl McCartney,E14000792
Remain,Lab,Louise Ellman,E14000793
Remain,Lab,Steve Rotheram,E14000794
Remain,Lab,Luciana Berger,E14000795
Remain,Lab,Stephen Twigg,E14000796
Remain,Con,Nicky Morgan,E14000797
Remain,Con,Victoria Atkins,E14000798
Remain,Con,Philip Dunne,E14000799
Leave,Lab,Kelvin Hopkins,E14000800
Remain,Lab,Gavin Shuker,E14000801
Remain,Con,David Rutley,E14000802
Remain,Con,Theresa May,E14000803
Remain,Con,Helen Grant,E14000804
Remain,Lab,Yvonne Fovargue,E14000805
Leave,Con,John Whittingdale,E14000806
Remain,Lab,Lucy Powell,E14000807
Remain,Lab,Gerald Kaufman,E14000808
Remain,Lab,Jeff Smith,E14000809
Remain,Lab,Alan Meale,E14000810
Remain,Con,George Hollingbery,E14000811
Remain,Con,Caroline Spelman,E14000812
Leave,Con,Nadine Dorries,E14000813
Leave,Con,Pauline Latham,E14000814
Leave,Con,Michael Tomlinson,E14000815
Remain,Con,George Freeman,E14000816
Remain,Con,Nicholas Soames,E14000817
Remain,Con,Nigel Huddleston,E14000818
Remain,Lab,Andy McDonald,E14000819
Remain,Lab,Tom Blenkinsop,E14000820
Remain,Con,Mark Lancaster,E14000821
Leave,Con,Iain Stewart,E14000822
Remain,Lab,Siobhain McDonagh,E14000823
Remain,Con,Paul Beresford,E14000824
Remain,Con,David Morris,E14000825
Leave,Con,Andrea Jenkyns,E14000826
Leave,Con,Julian Lewis,E14000827
Leave,Con,Desmond Swayne,E14000828
Remain,Con,Robert Jenrick,E14000829
Remain,Con,Richard Benyon,E14000830
Remain,Lab,Chi Onwurah,E14000831
Remain,Lab,Nick Brown,E14000832
Remain,Lab,Catherine McKinnell,E14000833
Remain,Lab,Paul Farrelly,E14000834
Leave,Con,Anne Marie Morris,E14000835
Remain,Lab,Yvette Cooper,E14000836
Leave,Con,Scott Mann,E14000837
Remain,Con,Peter Heaton-Jones,E14000838
Remain,Con,Simon Hoare,E14000839
Remain,Lab,Kevan Jones,E14000840
Remain,Con,Alistair Burt,E14000841
Leave,Con,Stephen Barclay,E14000842
Remain,Lab,Natascha Engel,E14000843
Leave,Con,Ranil Jayawardena,E14000844
Remain,Con,Oliver Heald,E14000845
Leave,Con,Jacob Rees-Mogg,E14000846
Leave,Con,Bill Wiggin,E14000847
Remain,Liberal Democrat,Norman Lamb,E14000848
Leave,Con,Owen Paterson,E14000849
Leave,Con,Liam Fox,E14000850
Leave,Con,Justin Tomlinson,E14000851
Remain,Con,Roger Gale,E14000852
Remain,Lab,Mary Glindon,E14000853
Leave,Con,Craig Tracey,E14000854
Remain,Con,Shailesh Vara,E14000855
Remain,Lab,Pat Glass,E14000856
Leave,Con,Kit Malthouse,E14000857
Leave,Con,Andrew Bridgen,E14000858
Leave,Con,Henry Bellingham,E14000859
Leave,Con,James Gray,E14000860
Remain,Con,Michael Ellis,E14000861
Remain,Con,David Mackintosh,E14000862
Remain,Con,Chloe Smith,E14000863
Remain,Lab,Clive Lewis,E14000864
Remain,Lab,Chris Leslie,E14000865
Remain,Lab,Graham Allen,E14000866
Remain,Lab,Lilian Greenwood,E14000867
Remain,Con,Marcus Jones,E14000868
Remain,Con,James Brokenshire,E14000869
Remain,Lab,Debbie Abrahams,E14000870
Remain,Lab,Jim McMahon,E14000871
Remain,Con,Jo Johnson,E14000872
Remain,Lab,Andrew Smith,E14000873
Remain,Con,Nicola Blackwood,E14000874
Leave,Con,Andrew Stephenson,E14000875
Remain,Lab,Angela Smith,E14000876
Remain,Con,Rory Stewart,E14000877
Leave,Con,Stewart Jackson,E14000878
Remain,Con,Johnny Mercer,E14000879
Remain,Con,Oliver Colvile,E14000880
Leave,Con,Robert Syms,E14000881
Remain,Lab,Jim Fitzpatrick,E14000882
Leave,Con,Penny Mordaunt,E14000883
Remain,Con,Flick Drummond,E14000884
Remain,Lab,Mark Hendrick,E14000885
Leave,Con,Stuart Andrew,E14000886
Remain,Con,Justine Greening,E14000887
Leave,Con,Mark Francois,E14000888
Remain,Con,Rob Wilson,E14000889
Remain,Con,Alok Sharma,E14000890
Remain,Lab,Anna Turley,E14000891
Leave,Con,Karen Lumley,E14000892
Leave,Con,Crispin Blunt,E14000893
Leave,Con,Nigel Evans,E14000894
Leave,Con,Rishi Sunak,E14000895
Remain,Lab,Simon Danczuk,E14000897
Remain,Con,Kelly Tolhurst,E14000898
Leave,Con,James Duddridge,E14000899
Leave,Con,Andrew Rosindell,E14000900
Remain,Con,Caroline Nokes,E14000901
Remain,Con,Jake Berry,E14000902
Remain,Lab,Kevin Barron,E14000903
Remain,Lab,Sarah Champion,E14000904
Remain,Con,Mark Pawsey,E14000905
Remain,Con,Nick Hurd,E14000906
Remain,Con,Philip Hammond,E14000907
Remain,Con,Kenneth Clarke,E14000908
Remain,Con,Alan Duncan,E14000909
Remain,Con,Alan Haselhurst,E14000910
Remain,Lab,Rebecca Long-Bailey,E14000911
Remain,Con,John Glen,E14000912
Remain,Con,Robert Goodwill,E14000913
Remain,Lab,Nicholas Dakin,E14000914
Remain,Lab,Phil Wilson,E14000915
Remain,Lab,Bill Esterson,E14000916
Leave,Con,Nigel Adams,E14000917
Remain,Con,Michael Fallon,E14000918
Remain,Lab,Paul Blomfield,E14000919
Remain,Lab,Clive Betts,E14000920
Remain,Liberal Democrat,Nick Clegg,E14000922
Remain,Lab,Louise Haigh,E14000923
Remain,Con,Mark Spencer,E14000924
Leave,Con,Philip Davies,E14000925
Leave,Con,Daniel Kawczynski,E14000926
Leave,Con,Gordon Henderson,E14000927
Remain,Con,Julian Smith,E14000928
Remain,Lab,Fiona Mactaggart,E14000930
Remain,Con,Julian Knight,E14000931
Leave,Con,David Warburton,E14000932
Leave,Con,Stephen Metcalfe,E14000933
Remain,Con,Heidi Allen,E14000934
Leave,Con,Heather Wheeler,E14000935
Leave,Con,Richard Drax,E14000936
Remain,Con,Lucy Frazer,E14000937
Leave,Con,Sheryll Murray,E14000938
Leave,Con,John Hayes,E14000939
Remain,Con,Alberto Costa,E14000940
Leave,Con,Richard Bacon,E14000941
